event_id,event_date,event_type,event_name,symbol,car,t_stat,p_value,estimation_n,model,beta,alpha
34,2023-08-29,Reg_Positive,Grayscale wins court case vs SEC (spot BTC ETF),ADA,-0.02258618733703432,-0.14991009996711693,0.880956413882312,251,market_model,1.046574201962119,-0.002128072473960992
36,2023-11-21,Reg_Negative,Binance/CZ US$4.3B DOJ settlement,BTC,0.103675312882345,0.7633028246268411,0.44600251074818487,251,constant_mean,,
36,2023-11-21,Reg_Negative,Binance/CZ US$4.3B DOJ settlement,ETH,-0.014103336581872787,-0.2063141232160154,0.8367134678653425,251,market_model,0.8737463845086257,-0.0007762235725569817
36,2023-11-21,Reg_Negative,Binance/CZ US$4.3B DOJ settlement,SOL,0.22891429891841386,1.3109360331596218,0.19108226612113444,251,market_model,1.1838807794814625,0.00021069790314903308
36,2023-11-21,Reg_Negative,Binance/CZ US$4.3B DOJ settlement,ADA,0.5024427104164397,3.5753676254448776,0.0004197061783390854,251,market_model,0.9524375168694817,-0.002315251553772214
37,2024-01-10,Reg_Positive,SEC approves 11 US spot Bitcoin ETFs,BTC,0.0041612577954986615,0.03407884945036951,0.9728414674622787,251,constant_mean,,
37,2024-01-10,Reg_Positive,SEC approves 11 US spot Bitcoin ETFs,ETH,0.05597318788271462,0.6737568985854164,0.5010883214190316,251,market_model,0.8669495674443386,-0.00045602917447988664
37,2024-01-10,Reg_Positive,SEC approves 11 US spot Bitcoin ETFs,SOL,-0.17753178902035077,-0.8133474775771946,0.41679279762434707,251,market_model,1.331156340762721,0.0034897738591072097
37,2024-01-10,Reg_Positive,SEC approves 11 US spot Bitcoin ETFs,ADA,-0.10893547003947723,-0.694079088227475,0.48827705573693136,251,market_model,0.9632086444477057,0.00028227721191357295
39,2024-04-20,Infra_Positive,Bitcoin fourth halving (6.25 → 3.125 BTC),BTC,-0.021252497146077742,-0.14244081502060307,0.8868465536653158,251,constant_mean,,
39,2024-04-20,Infra_Positive,Bitcoin fourth halving (6.25 → 3.125 BTC),ETH,0.10101310571689492,1.0369565962035825,0.30075801809946645,251,market_model,0.8290879568266994,-0.00021522608719438054
39,2024-04-20,Infra_Positive,Bitcoin fourth halving (6.25 → 3.125 BTC),SOL,-0.053856648623101994,-0.22928275049120475,0.8188366245776453,251,market_model,1.1898028642348382,0.00514364453372126
39,2024-04-20,Infra_Positive,Bitcoin fourth halving (6.25 → 3.125 BTC),ADA,0.0012059294869912508,0.007203301396149046,0.9942583913957728,251,market_model,0.9915561544524629,-0.00033620842053315957
43,2025-02-21,Infra_Negative,Bybit exchange hack (~$1.5B); FBI attributes to DPRK; largest exchange theft to date,BTC,-0.18361640492417816,-1.1951427579909,0.23316376443011855,251,constant_mean,,
43,2025-02-21,Infra_Negative,Bybit exchange hack (~$1.5B); FBI attributes to DPRK; largest exchange theft to date,ETH,-0.0880422338396858,-0.6826594451403841,0.49545413191818466,251,market_model,1.0702999605292698,-0.0013975303334258853
43,2025-02-21,Infra_Negative,Bybit exchange hack (~$1.5B); FBI attributes to DPRK; largest exchange theft to date,SOL,-0.1651857764602762,-0.9466070449245593,0.3447530958732332,251,market_model,1.189099576458944,6.962810692114568e-05
43,2025-02-21,Infra_Negative,Bybit exchange hack (~$1.5B); FBI attributes to DPRK; largest exchange theft to date,ADA,0.22332802537088295,1.0178840167048435,0.3097171152436693,251,market_model,1.1426673425830887,0.0017302378141403907
44,2025-02-27,Reg_Positive,SEC and Coinbase file joint stipulation to dismiss case,BTC,-0.19531499634616806,-1.295316978030045,0.19640572900994369,251,constant_mean,,
44,2025-02-27,Reg_Positive,SEC and Coinbase file joint stipulation to dismiss case,ETH,-0.12448976214753857,-1.03678287771037,0.3008388282275558,251,market_model,1.019109474847178,-0.0020145959790045386
44,2025-02-27,Reg_Positive,SEC and Coinbase file joint stipulation to dismiss case,SOL,-0.04943238882910547,-0.2813254720925337,0.7786934827963949,251,market_model,1.1775146678847481,-0.00017468385458166573
44,2025-02-27,Reg_Positive,SEC and Coinbase file joint stipulation to dismiss case,ADA,0.22925585837144918,1.0463999264991533,0.29638707218822713,251,market_model,1.1495797420199219,0.00150977692860675
